filename,binary_name,primary_path,categories,mitre_ids,risk,description
sysctl,sysctl,/usr/bin/sysctl,command|file-read,T1005|T1059,medium,GTFOBins: sysctl can be used for command; file-read
systemctl,systemctl,/usr/bin/systemctl,inherit|shell,T1059,medium,GTFOBins: systemctl can be used for inherit; shell
systemd-resolve,systemd-resolve,/usr/bin/systemd-resolve,inherit,T1059,medium,GTFOBins: systemd-resolve can be used for inherit
systemd-run,systemd-run,/usr/bin/systemd-run,command|shell,T1059,medium,GTFOBins: systemd-run can be used for command; shell
tac,tac,/usr/bin/tac,file-read,T1005,low,GTFOBins: tac can be used for file-read
tail,tail,/usr/bin/tail,file-read,T1005,low,GTFOBins: tail can be used for file-read
tailscale,tailscale,/usr/bin/tailscale,upload,T1048,medium,GTFOBins: tailscale can be used for upload
tar,tar,/usr/bin/tar,download|file-read|file-write|shell|upload,T1005|T1048|T1059|T1105|T1565.001,medium,GTFOBins: tar can be used for download; file-read; file-write; shell; upload
task,task,/usr/bin/task,shell,T1059,medium,GTFOBins: task can be used for shell
taskset,taskset,/usr/bin/taskset,shell,T1059,medium,GTFOBins: taskset can be used for shell
tasksh,tasksh,/usr/bin/tasksh,shell,T1059,medium,GTFOBins: tasksh can be used for shell
tbl,tbl,/usr/bin/tbl,file-read,T1005,low,GTFOBins: tbl can be used for file-read
tclsh,tclsh,/usr/bin/tclsh,library-load|reverse-shell|shell,T1059|T1574.006,high,GTFOBins: tclsh can be used for library-load; reverse-shell; shell
tcpdump,tcpdump,/usr/bin/tcpdump,command|file-write,T1059|T1565.001,medium,GTFOBins: tcpdump can be used for command; file-write
tcsh,tcsh,/usr/bin/tcsh,file-write|shell,T1059|T1565.001,medium,GTFOBins: tcsh can be used for file-write; shell
tdbtool,tdbtool,/usr/bin/tdbtool,shell,T1059,medium,GTFOBins: tdbtool can be used for shell
tee,tee,/usr/bin/tee,file-write,T1565.001,medium,GTFOBins: tee can be used for file-write
telnet,telnet,/usr/bin/telnet,reverse-shell|shell,T1059,high,GTFOBins: telnet can be used for reverse-shell; shell
terraform,terraform,/usr/bin/terraform,file-read,T1005,low,GTFOBins: terraform can be used for file-read
tex,tex,/usr/bin/tex,shell,T1059,medium,GTFOBins: tex can be used for shell
tftp,tftp,/usr/bin/tftp,download|upload,T1048|T1105,medium,GTFOBins: tftp can be used for download; upload
tic,tic,/usr/bin/tic,file-read,T1005,low,GTFOBins: tic can be used for file-read
time,time,/usr/bin/time,shell,T1059,medium,GTFOBins: time can be used for shell
timedatectl,timedatectl,/usr/bin/timedatectl,inherit,T1059,medium,GTFOBins: timedatectl can be used for inherit
timeout,timeout,/usr/bin/timeout,shell,T1059,medium,GTFOBins: timeout can be used for shell
tmate,tmate,/usr/bin/tmate,shell,T1059,medium,GTFOBins: tmate can be used for shell
tmux,tmux,/usr/bin/tmux,file-read|shell,T1005|T1059,medium,GTFOBins: tmux can be used for file-read; shell
top,top,/usr/bin/top,shell,T1059,medium,GTFOBins: top can be used for shell
torify,torify,/usr/bin/torify,shell,T1059,medium,GTFOBins: torify can be used for shell
torsocks,torsocks,/usr/bin/torsocks,shell,T1059,medium,GTFOBins: torsocks can be used for shell
troff,troff,/usr/bin/troff,file-read,T1005,low,GTFOBins: troff can be used for file-read
tsc,tsc,/usr/bin/tsc,file-read|file-write,T1005|T1565.001,medium,GTFOBins: tsc can be used for file-read; file-write
tshark,tshark,/usr/bin/tshark,inherit,T1059,medium,GTFOBins: tshark can be used for inherit
ul,ul,/usr/bin/ul,file-read,T1005,low,GTFOBins: ul can be used for file-read
unexpand,unexpand,/usr/bin/unexpand,file-read,T1005,low,GTFOBins: unexpand can be used for file-read
uniq,uniq,/usr/bin/uniq,file-read,T1005,low,GTFOBins: uniq can be used for file-read
unshare,unshare,/usr/bin/unshare,shell,T1059,medium,GTFOBins: unshare can be used for shell
unsquashfs,unsquashfs,/usr/bin/unsquashfs,privilege-escalation,T1548,high,GTFOBins: unsquashfs can be used for privilege-escalation
unzip,unzip,/usr/bin/unzip,privilege-escalation,T1548,high,GTFOBins: unzip can be used for privilege-escalation
update-alternatives,update-alternatives,/usr/bin/update-alternatives,file-write,T1565.001,medium,GTFOBins: update-alternatives can be used for file-write
urlget,urlget,/usr/bin/urlget,file-read,T1005,low,GTFOBins: urlget can be used for file-read
uuencode,uuencode,/usr/bin/uuencode,file-read,T1005,low,GTFOBins: uuencode can be used for file-read
uv,uv,/usr/bin/uv,shell,T1059,medium,GTFOBins: uv can be used for shell
vagrant,vagrant,/usr/bin/vagrant,inherit,T1059,medium,GTFOBins: vagrant can be used for inherit
valgrind,valgrind,/usr/bin/valgrind,shell,T1059,medium,GTFOBins: valgrind can be used for shell
varnishncsa,varnishncsa,/usr/bin/varnishncsa,file-write,T1565.001,medium,GTFOBins: varnishncsa can be used for file-write
vi,vi,/usr/bin/vi,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: vi can be used for file-read; file-write; shell
view,view,/usr/bin/view,file-read|inherit,T1005|T1059,medium,GTFOBins: view can be used for file-read; inherit
vigr,vigr,/usr/bin/vigr,inherit,T1059,medium,GTFOBins: vigr can be used for inherit
vim,vim,/usr/bin/vim,file-read|inherit,T1005|T1059,medium,GTFOBins: vim can be used for file-read; inherit
vimdiff,vimdiff,/usr/bin/vimdiff,file-read|inherit,T1005|T1059,medium,GTFOBins: vimdiff can be used for file-read; inherit
vipw,vipw,/usr/bin/vipw,inherit,T1059,medium,GTFOBins: vipw can be used for inherit
virsh,virsh,/usr/bin/virsh,command|file-write,T1059|T1565.001,medium,GTFOBins: virsh can be used for command; file-write
volatility,volatility,/usr/bin/volatility,inherit,T1059,medium,GTFOBins: volatility can be used for inherit
w3m,w3m,/usr/bin/w3m,file-read,T1005,low,GTFOBins: w3m can be used for file-read
wall,wall,/usr/bin/wall,file-read,T1005,low,GTFOBins: wall can be used for file-read
watch,watch,/usr/bin/watch,shell,T1059,medium,GTFOBins: watch can be used for shell
wc,wc,/usr/bin/wc,file-read,T1005,low,GTFOBins: wc can be used for file-read
wg-quick,wg-quick,/usr/bin/wg-quick,shell,T1059,medium,GTFOBins: wg-quick can be used for shell
wget,wget,/usr/bin/wget,download|file-read|file-write|shell|upload,T1005|T1048|T1059|T1105|T1565.001,medium,GTFOBins: wget can be used for download; file-read; file-write; shell; upload
whiptail,whiptail,/usr/bin/whiptail,file-read,T1005,low,GTFOBins: whiptail can be used for file-read
whois,whois,/usr/bin/whois,download|upload,T1048|T1105,medium,GTFOBins: whois can be used for download; upload
wireshark,wireshark,/usr/bin/wireshark,file-write|inherit,T1059|T1565.001,medium,GTFOBins: wireshark can be used for file-write; inherit
wish,wish,/usr/bin/wish,inherit,T1059,medium,GTFOBins: wish can be used for inherit
xargs,xargs,/usr/bin/xargs,file-read|shell,T1005|T1059,medium,GTFOBins: xargs can be used for file-read; shell
xdg-user-dir,xdg-user-dir,/usr/bin/xdg-user-dir,shell,T1059,medium,GTFOBins: xdg-user-dir can be used for shell
xdotool,xdotool,/usr/bin/xdotool,shell,T1059,medium,GTFOBins: xdotool can be used for shell
xelatex,xelatex,/usr/bin/xelatex,file-read|file-write|shell,T1005|T1059|T1565.001,medium,GTFOBins: xelatex can be used for file-read; file-write; shell
xetex,xetex,/usr/bin/xetex,shell,T1059,medium,GTFOBins: xetex can be used for shell
xmodmap,xmodmap,/usr/bin/xmodmap,file-read,T1005,low,GTFOBins: xmodmap can be used for file-read
xmore,xmore,/usr/bin/xmore,file-read,T1005,low,GTFOBins: xmore can be used for file-read
xpad,xpad,/usr/bin/xpad,file-read,T1005,low,GTFOBins: xpad can be used for file-read
xxd,xxd,/usr/bin/xxd,file-read|file-write,T1005|T1565.001,medium,GTFOBins: xxd can be used for file-read; file-write
xz,xz,/usr/bin/xz,file-read,T1005,low,GTFOBins: xz can be used for file-read
yarn,yarn,/usr/bin/yarn,shell,T1059,medium,GTFOBins: yarn can be used for shell
yash,yash,/usr/bin/yash,shell,T1059,medium,GTFOBins: yash can be used for shell
yelp,yelp,/usr/bin/yelp,file-read,T1005,low,GTFOBins: yelp can be used for file-read
yt-dlp,yt-dlp,/usr/bin/yt-dlp,shell,T1059,medium,GTFOBins: yt-dlp can be used for shell
yum,yum,/usr/bin/yum,command|download|inherit,T1059|T1105,medium,GTFOBins: yum can be used for command; download; inherit
zathura,zathura,/usr/bin/zathura,shell,T1059,medium,GTFOBins: zathura can be used for shell
zcat,zcat,/usr/bin/zcat,file-read,T1005,low,GTFOBins: zcat can be used for file-read
zgrep,zgrep,/usr/bin/zgrep,file-read,T1005,low,GTFOBins: zgrep can be used for file-read
zic,zic,/usr/bin/zic,command,T1059,medium,GTFOBins: zic can be used for command
zip,zip,/usr/bin/zip,file-read|shell,T1005|T1059,medium,GTFOBins: zip can be used for file-read; shell
zless,zless,/usr/bin/zless,inherit,T1059,medium,GTFOBins: zless can be used for inherit
zsh,zsh,/usr/bin/zsh,download|file-read|file-write|inherit|reverse-shell|shell|upload,T1005|T1048|T1059|T1105|T1565.001,high,GTFOBins: zsh can be used for download; file-read; file-write; inherit; reverse-shell; shell; upload
zsoelim,zsoelim,/usr/bin/zsoelim,file-read,T1005,low,GTFOBins: zsoelim can be used for file-read
zypper,zypper,/usr/bin/zypper,shell,T1059,medium,GTFOBins: zypper can be used for shell
